day,month,year,day_of_week,price
1,January,2022,Saturday,47450.2
2,January,2022,Sunday,47264.8
3,January,2022,Monday,46222.5
4,January,2022,Tuesday,46155.3
5,January,2022,Wednesday,43439.9
6,January,2022,Thursday,43176.6
7,January,2022,Friday,41537.7
8,January,2022,Saturday,41912.1
9,January,2022,Sunday,42205.4
10,January,2022,Monday,41605.0
11,January,2022,Tuesday,42717.4
12,January,2022,Wednesday,43860.5
13,January,2022,Thursday,42614.5
14,January,2022,Friday,43263.5
15,January,2022,Saturday,43259.0
16,January,2022,Sunday,43207.3
17,January,2022,Monday,42094.0
18,January,2022,Tuesday,42495.6
19,January,2022,Wednesday,41989.5
20,January,2022,Thursday,41175.5
21,January,2022,Friday,36138.8
22,January,2022,Saturday,34885.5
23,January,2022,Sunday,35518.3
24,January,2022,Monday,36382.2
25,January,2022,Tuesday,36796.4
26,January,2022,Wednesday,36535.4
27,January,2022,Thursday,36727.2
28,January,2022,Friday,37667.1
29,January,2022,Saturday,38154.7
30,January,2022,Sunday,37800.9
31,January,2022,Monday,38431.7
1,February,2022,Tuesday,38717.7
2,February,2022,Wednesday,37036.9
3,February,2022,Thursday,36951.6
4,February,2022,Friday,40674.2
5,February,2022,Saturday,41604.8
6,February,2022,Sunday,41612.0
7,February,2022,Monday,44097.0
8,February,2022,Tuesday,44102.5
9,February,2022,Wednesday,44606.8
10,February,2022,Thursday,43980.3
11,February,2022,Friday,42167.6
12,February,2022,Saturday,42196.6
13,February,2022,Sunday,42405.4
14,February,2022,Monday,42690.9
15,February,2022,Tuesday,44195.7
16,February,2022,Wednesday,44032.5
17,February,2022,Thursday,40737.0
18,February,2022,Friday,39964.4
19,February,2022,Saturday,40035.4
20,February,2022,Sunday,38838.2
21,February,2022,Monday,37562.1
22,February,2022,Tuesday,37936.3
23,February,2022,Wednesday,37670.8
24,February,2022,Thursday,37885.2
25,February,2022,Friday,39454.4
26,February,2022,Saturday,39160.9
27,February,2022,Sunday,37825.8
28,February,2022,Monday,42965.9
1,March,2022,Tuesday,44168.9
2,March,2022,Wednesday,44076.2
3,March,2022,Thursday,42493.2
4,March,2022,Friday,39016.4
5,March,2022,Saturday,39476.8
6,March,2022,Sunday,38985.8
7,March,2022,Monday,38222.9
8,March,2022,Tuesday,38560.0
9,March,2022,Wednesday,41900.4
10,March,2022,Thursday,39457.8
11,March,2022,Friday,38924.5
12,March,2022,Saturday,39105.9
13,March,2022,Sunday,37750.4
14,March,2022,Monday,39331.6
15,March,2022,Tuesday,39481.8
16,March,2022,Wednesday,40895.3
17,March,2022,Thursday,41008.3
18,March,2022,Friday,41708.0
19,March,2022,Saturday,41971.3
20,March,2022,Sunday,41428.9
21,March,2022,Monday,41136.5
22,March,2022,Tuesday,42550.0
23,March,2022,Wednesday,42509.9
24,March,2022,Thursday,43969.4
25,March,2022,Friday,44321.6
26,March,2022,Saturday,44381.9
27,March,2022,Sunday,46562.6
28,March,2022,Monday,47633.0
29,March,2022,Tuesday,47295.4
30,March,2022,Wednesday,47001.6
31,March,2022,Thursday,45766.3
1,April,2022,Friday,46323.6
2,April,2022,Saturday,46249.5
3,April,2022,Sunday,46853.0
4,April,2022,Monday,46458.4
5,April,2022,Tuesday,45958.1
6,April,2022,Wednesday,43845.8
7,April,2022,Thursday,43524.4
8,April,2022,Friday,42580.4
9,April,2022,Saturday,42570.8
10,April,2022,Sunday,42678.2
11,April,2022,Monday,39400.6
12,April,2022,Tuesday,39701.7
13,April,2022,Wednesday,41232.1
14,April,2022,Thursday,39974.0
15,April,2022,Friday,40434.1
16,April,2022,Saturday,40490.1
17,April,2022,Sunday,40216.2
18,April,2022,Monday,40813.5
19,April,2022,Tuesday,41321.3
20,April,2022,Wednesday,41504.8
21,April,2022,Thursday,40730.5
22,April,2022,Friday,39619.2
23,April,2022,Saturday,39903.0
24,April,2022,Sunday,39641.3
25,April,2022,Monday,40235.6
26,April,2022,Tuesday,38333.9
27,April,2022,Wednesday,39225.9
28,April,2022,Thursday,39848.7
29,April,2022,Friday,38564.0
30,April,2022,Saturday,38301.1
1,May,2022,Sunday,38342.6
2,May,2022,Monday,38643.5
3,May,2022,Tuesday,37791.8
4,May,2022,Wednesday,39741.1
5,May,2022,Thursday,36451.3
6,May,2022,Friday,35956.3
7,May,2022,Saturday,35089.0
8,May,2022,Sunday,34450.4
9,May,2022,Monday,30800.7
10,May,2022,Tuesday,30286.1
11,May,2022,Wednesday,28893.2
12,May,2022,Thursday,28368.4
13,May,2022,Friday,29995.6
14,May,2022,Saturday,29661.4
15,May,2022,Sunday,31029.6
16,May,2022,Monday,30135.2
17,May,2022,Tuesday,30512.1
18,May,2022,Wednesday,29152.1
19,May,2022,Thursday,30245.9
20,May,2022,Friday,29148.6
21,May,2022,Saturday,29314.4
22,May,2022,Sunday,29981.7
23,May,2022,Monday,29311.1
24,May,2022,Tuesday,29548.3
25,May,2022,Wednesday,29789.2
26,May,2022,Thursday,29546.4
27,May,2022,Friday,28690.6
28,May,2022,Saturday,28983.5
29,May,2022,Sunday,29203.5
30,May,2022,Monday,31780.5
31,May,2022,Tuesday,31682.3
1,June,2022,Wednesday,29564.1
2,June,2022,Thursday,30340.1
3,June,2022,Friday,29786.2
4,June,2022,Saturday,29823.7
5,June,2022,Sunday,29937.1
6,June,2022,Monday,31462.1
7,June,2022,Tuesday,31383.4
8,June,2022,Wednesday,30404.5
9,June,2022,Thursday,30114.0
10,June,2022,Friday,29162.6
11,June,2022,Saturday,28528.8
12,June,2022,Sunday,27335.7
13,June,2022,Monday,23031.7
14,June,2022,Tuesday,21463.2
15,June,2022,Wednesday,22157.8
16,June,2022,Thursday,20985.9
17,June,2022,Friday,20533.1
18,June,2022,Saturday,18494.7
19,June,2022,Sunday,20369.1
20,June,2022,Monday,20396.0
21,June,2022,Tuesday,20950.4
22,June,2022,Wednesday,19985.3
23,June,2022,Thursday,20667.1
24,June,2022,Friday,21295.5
25,June,2022,Saturday,21495.7
26,June,2022,Sunday,21368.6
27,June,2022,Monday,20784.6
28,June,2022,Tuesday,20368.2
29,June,2022,Wednesday,20270.8
30,June,2022,Thursday,18797.2
1,July,2022,Friday,19375.7
2,July,2022,Saturday,19332.0
3,July,2022,Sunday,19279.7
4,July,2022,Monday,19934.8
5,July,2022,Tuesday,20350.7
6,July,2022,Wednesday,20332.5
7,July,2022,Thursday,21654.4
8,July,2022,Friday,21706.8
9,July,2022,Saturday,21695.8
10,July,2022,Sunday,21022.9
11,July,2022,Monday,20224.1
12,July,2022,Tuesday,19328.7
13,July,2022,Wednesday,19908.9
14,July,2022,Thursday,20468.1
15,July,2022,Friday,20960.9
16,July,2022,Saturday,21190.8
17,July,2022,Sunday,21016.7
18,July,2022,Monday,21653.4
19,July,2022,Tuesday,23656.5
20,July,2022,Wednesday,23608.5
21,July,2022,Thursday,23212.4
22,July,2022,Friday,22739.1
23,July,2022,Saturday,22249.0
24,July,2022,Sunday,22811.5
25,July,2022,Monday,22027.0
26,July,2022,Tuesday,20945.0
27,July,2022,Wednesday,22680.9
28,July,2022,Thursday,23931.8
29,July,2022,Friday,23828.9
30,July,2022,Saturday,23868.8
31,July,2022,Sunday,23595.8
1,August,2022,Monday,23027.4
2,August,2022,Tuesday,23097.7
3,August,2022,Wednesday,23274.3
4,August,2022,Thursday,22496.0
5,August,2022,Friday,23111.4
6,August,2022,Saturday,23183.9
7,August,2022,Sunday,23315.4
8,August,2022,Monday,23852.2
9,August,2022,Tuesday,23195.8
10,August,2022,Wednesday,23966.2
11,August,2022,Thursday,24195.3
12,August,2022,Friday,24125.5
13,August,2022,Saturday,24508.5
14,August,2022,Sunday,24352.3
15,August,2022,Monday,24031.0
16,August,2022,Tuesday,23950.8
17,August,2022,Wednesday,23332.9
18,August,2022,Thursday,23363.3
19,August,2022,Friday,21024.6
20,August,2022,Saturday,21121.1
21,August,2022,Sunday,21534.4
22,August,2022,Monday,21097.4
23,August,2022,Tuesday,21489.2
24,August,2022,Wednesday,21594.1
25,August,2022,Thursday,21584.5
26,August,2022,Friday,20641.1
27,August,2022,Saturday,19891.8
28,August,2022,Sunday,19965.2
29,August,2022,Monday,20205.9
30,August,2022,Tuesday,19882.1
31,August,2022,Wednesday,20282.0
1,September,2022,Thursday,20083.7
2,September,2022,Friday,19979.0
3,September,2022,Saturday,19751.8
4,September,2022,Sunday,19857.2
5,September,2022,Monday,19752.4
6,September,2022,Tuesday,18979.9
7,September,2022,Wednesday,19364.7
8,September,2022,Thursday,19334.6
9,September,2022,Friday,21257.8
10,September,2022,Saturday,21606.8
11,September,2022,Sunday,21515.0
12,September,2022,Monday,22341.3
13,September,2022,Tuesday,20133.2
14,September,2022,Wednesday,20206.8
15,September,2022,Thursday,19828.4
16,September,2022,Friday,19744.4
17,September,2022,Saturday,20034.5
18,September,2022,Sunday,19463.5
19,September,2022,Monday,19519.5
20,September,2022,Tuesday,18898.2
21,September,2022,Wednesday,18468.2
22,September,2022,Thursday,19173.6
23,September,2022,Friday,19008.8
24,September,2022,Saturday,18952.3
25,September,2022,Sunday,18744.7
26,September,2022,Monday,19096.4
27,September,2022,Tuesday,18992.7
28,September,2022,Wednesday,19618.8
29,September,2022,Thursday,19432.8
30,September,2022,Friday,19360.2
1,October,2022,Saturday,19288.3
2,October,2022,Sunday,19197.1
3,October,2022,Monday,19555.2
4,October,2022,Tuesday,20296.3
5,October,2022,Wednesday,20055.4
6,October,2022,Thursday,19913.3
7,October,2022,Friday,19572.7
8,October,2022,Saturday,19322.7
9,October,2022,Sunday,19482.2
10,October,2022,Monday,19243.5
11,October,2022,Tuesday,19004.5
12,October,2022,Wednesday,19181.6
13,October,2022,Thursday,19403.6
14,October,2022,Friday,19108.5
15,October,2022,Saturday,19070.1
16,October,2022,Sunday,19148.5
17,October,2022,Monday,19515.4
18,October,2022,Tuesday,19296.2
19,October,2022,Wednesday,19195.0
20,October,2022,Thursday,19070.9
21,October,2022,Friday,19155.9
22,October,2022,Saturday,19204.4
23,October,2022,Sunday,19541.0
24,October,2022,Monday,19366.3
25,October,2022,Tuesday,20234.4
26,October,2022,Wednesday,20745.3
27,October,2022,Thursday,20407.2
28,October,2022,Friday,20599.8
29,October,2022,Saturday,20850.3
30,October,2022,Sunday,20591.0
31,October,2022,Monday,20478.7
1,November,2022,Tuesday,20476.1
2,November,2022,Wednesday,20108.0
3,November,2022,Thursday,20195.5
4,November,2022,Friday,21179.3
5,November,2022,Saturday,21297.7
6,November,2022,Sunday,21140.3
7,November,2022,Monday,20463.7
8,November,2022,Tuesday,18514.2
9,November,2022,Wednesday,16103.0
10,November,2022,Thursday,17887.7
11,November,2022,Friday,16949.2
12,November,2022,Saturday,16805.7
13,November,2022,Sunday,16414.0
14,November,2022,Monday,16386.9
15,November,2022,Tuesday,16859.7
16,November,2022,Wednesday,16653.8
17,November,2022,Thursday,16697.2
18,November,2022,Friday,16647.0
19,November,2022,Saturday,16720.1
20,November,2022,Sunday,16272.5
21,November,2022,Monday,15720.5
22,November,2022,Tuesday,16165.2
23,November,2022,Wednesday,16494.2
24,November,2022,Thursday,16597.5
25,November,2022,Friday,16519.6
26,November,2022,Saturday,16416.1
27,November,2022,Sunday,16563.3
28,November,2022,Monday,16212.5
